EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
Union Berlin,Wolfsburg,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.35,2.80,2.40,1.30,1.30,1.32,7.50,4.30,1.06,4.10,3.35,1.32,1.30,3.35,4.10,1.06,4.30,7.50,ALL
Al-Masry,RSB Berkane,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.90,2.70,2.70,1.25,1.25,1.40,7.25,4.00,1.08,3.75,3.10,1.40,1.25,3.40,5.25,1.05,4.40,9.50,ALL
Everton,Manchester United,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.85,2.50,1.28,1.25,1.35,7.00,4.25,1.08,3.80,3.30,1.35,1.28,3.40,4.40,1.06,4.30,8.00,ALL
Hercules CF,FC Andorra,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.60,3.00,1.20,1.30,1.40,7.25,4.00,1.08,3.75,3.00,1.40,1.20,3.40,6.00,1.02,4.25,10.00,ALL
Guillermo Brown,CA Platense,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.60,2.60,1.28,1.28,1.38,8.00,4.10,1.06,4.10,3.10,1.35,1.25,3.30,5.20,1.00,4.30,9.50,ALL
CA Alvarado,Club Atletico Temperley,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.50,2.65,1.25,1.30,1.35,8.25,4.20,1.06,4.30,3.15,1.35,1.25,3.30,5.20,1.00,4.30,9.75,ALL
Grombalia Sports,CA Bizertin,0-4,0,4,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,5.00,4.25,1.25,2.15,1.10,1.05,12.00,4.00,1.05,2.15,2.65,1.90,1.45,3.20,3.40,1.00,1.00,1.00,ALL
Felda United,Petaling Jay,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,3.00,2.45,1.30,1.20,1.40,6.25,4.25,1.12,3.50,3.40,1.40,1.30,3.50,4.25,1.08,4.40,7.50,ALL
Pescara,Ascoli,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.85,2.70,2.95,1.15,1.25,1.45,4.75,3.40,1.12,2.75,2.90,1.45,1.15,3.20,4.75,1.02,3.60,7.25,ALL
KRC Genk,Club Brugge,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.25,3.00,1.65,1.60,1.20,1.12,5.00,3.25,1.12,1.60,2.80,2.40,1.18,3.30,4.00,1.00,1.00,1.00,ALL
Aston Villa,Manchester City,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,9.50,4.50,1.08,9.50,3.30,1.00,2.75,3.00,1.30,2.00,3.00,1.80,3.40,15.00,1.12,1.00,1.00,1.00,ALL
Karlskrona,Malmö,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,9.50,5.25,1.08,4.00,3.60,1.25,2.30,3.40,1.75,35.00,28.00,9.00,30.00,10.00,4.00,17.00,10.00,2.25,ALL
AC Horsens,Randers,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.60,2.80,2.10,1.40,1.25,1.25,8.50,4.40,1.05,4.75,3.40,1.25,1.40,3.25,3.60,1.08,4.25,6.75,ALL
FC Rieti,Sicula Leonzio,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.50,2.65,2.15,1.40,1.25,1.30,8.50,4.40,1.05,4.75,3.40,1.25,1.35,3.20,3.90,1.08,4.25,7.25,ALL
Korona Kielce,Lechia Gdansk,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.25,2.55,2.45,1.25,1.30,1.25,6.25,3.40,1.05,3.75,2.90,1.25,1.25,2.95,4.00,1.05,3.50,6.75,ALL
Tottenham,Wolverhampton,2-3,2,3,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.05,2.80,2.75,1.22,1.25,1.42,6.50,4.10,1.10,3.50,3.20,1.42,1.22,3.50,4.90,1.00,4.40,9.00,ALL
Atletico Levante UD,CD Ebro,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.90,2.70,2.90,1.15,1.25,1.40,5.50,3.30,1.08,3.10,2.70,1.40,1.15,3.00,5.00,1.02,3.40,8.00,ALL
Internacional SP,Gremio Novo,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.70,2.50,1.25,1.25,1.35,8.00,4.25,1.08,4.25,3.10,1.35,1.25,3.30,4.75,1.05,4.25,9.00,ALL
Zira FK,FK Gabala,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.80,3.10,2.90,1.20,1.20,1.55,5.25,4.00,1.18,2.90,3.20,1.55,1.20,3.75,5.25,1.05,4.50,9.00,ALL
CR Khemis Zemamra,Moghreb,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.75,2.80,3.40,1.15,1.25,1.55,6.00,3.75,1.15,3.10,2.90,1.55,1.15,3.60,6.75,1.02,4.40,12.00,ALL
Porto B,Oliveirense,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.65,2.95,3.25,1.12,1.20,1.55,4.40,3.30,1.15,2.50,2.75,1.55,1.12,3.20,5.25,1.00,3.50,8.00,ALL
